Global Land and Ocean December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Date,Anomaly
200101,0.45
200102,0.43
200103,0.55
200104,0.53
200105,0.57
200106,0.53
200107,0.62
200108,0.54
200109,0.55
200110,0.50
200111,0.69
200112,0.62
200201,0.68
200202,0.68
200203,0.83
200204,0.56
200205,0.65
200206,0.58
200207,0.64
200208,0.56
200209,0.61
200210,0.57
200211,0.57
200212,0.51
200301,0.72
200302,0.62
200303,0.59
200304,0.58
200305,0.60
200306,0.49
200307,0.58
200308,0.64
200309,0.69
200310,0.75
200311,0.56
200312,0.74
200401,0.62
200402,0.71
200403,0.67
200404,0.62
200405,0.40
200406,0.44
200407,0.37
200408,0.49
200409,0.55
200410,0.62
200411,0.70
200412,0.53
200501,0.76
200502,0.63
200503,0.75
200504,0.69
200505,0.67
200506,0.67
200507,0.64
200508,0.60
200509,0.70
200510,0.74
200511,0.77
200512,0.73
200601,0.60
200602,0.77
200603,0.66
200604,0.55
200605,0.55
200606,0.64
200607,0.56
200608,0.71
200609,0.67
200610,0.68
200611,0.68
200612,0.78
200701,0.92
200702,0.71
200703,0.68
200704,0.78
200705,0.64
200706,0.59
200707,0.59
200708,0.57
200709,0.60
200710,0.61
200711,0.57
200712,0.48
200801,0.28
200802,0.33
200803,0.70
200804,0.52
200805,0.51
200806,0.48
200807,0.59
200808,0.53
200809,0.61
200810,0.68
200811,0.70
200812,0.59
200901,0.67
200902,0.55
200903,0.53
200904,0.58
200905,0.62
200906,0.68
200907,0.74
200908,0.71
200909,0.76
200910,0.69
200911,0.76
200912,0.72
201001,0.77
201002,0.84
201003,0.89
201004,0.88
201005,0.78
201006,0.70
201007,0.67
201008,0.65
201009,0.65
201010,0.69
201011,0.77
201012,0.51
201101,0.56
201102,0.51
201103,0.65
201104,0.66
201105,0.55
201106,0.62
201107,0.70
201108,0.70
201109,0.62
201110,0.66
201111,0.55
201112,0.59
201201,0.51
201202,0.52
201203,0.53
201204,0.73
201205,0.75
201206,0.70
201207,0.63
201208,0.67
201209,0.74
201210,0.78
201211,0.75
201212,0.53
201301,0.69
201302,0.60
201303,0.66
201304,0.60
201305,0.66
201306,0.70
201307,0.62
201308,0.69
201309,0.76
201310,0.68
201311,0.79
201312,0.70
201401,0.75
201402,0.59
201403,0.79
201404,0.79
201405,0.83
201406,0.72
201407,0.65
201408,0.82
201409,0.85
201410,0.79
201411,0.67
201412,0.80
201501,0.83
201502,0.87
201503,0.93
201504,0.82
201505,0.83
201506,0.86
201507,0.79
201508,0.84
201509,0.93
201510,1.07
201511,1.05
201512,1.13
201601,1.21
201602,1.34
201603,1.34
201604,1.14
201605,0.96
201606,0.84
201607,0.88
201608,1.00
201609,0.95
201610,0.87
201611,0.93
201612,0.90
201701,1.05
201702,1.10
201703,1.12
201704,0.95
201705,0.91
201706,0.77
201707,0.85
201708,0.87
201709,0.86
201710,0.91
201711,0.89
201712,0.96
201801,0.84
201802,0.89
201803,0.88
201804,0.90
201805,0.83
201806,0.80
201807,0.84
201808,0.81
201809,0.83
201810,1.01
201811,0.84
201812,0.94
201901,0.92
201902,0.91
201903,1.15
201904,1.04
201905,0.91
201906,0.91
201907,0.92
201908,0.94
201909,0.95
201910,1.02
201911,0.98
201912,1.11
202001,1.16
202002,1.21
202003,1.14
202004,1.13
202005,0.99
202006,0.93
202007,0.91
202008,0.90
202009,1.00
202010,0.90
202011,1.06
202012,0.83
202101,0.84
202102,0.66
202103,0.88
202104,0.80
202105,0.81
202106,0.84
202107,0.90
202108,0.88
202109,0.93
202110,0.99
202111,0.93
202112,0.89
202201,0.92
202202,0.90
202203,1.07
202204,0.88
202205,0.82
202206,0.92
202207,0.90
202208,0.92
202209,0.88
202210,0.96
202211,0.75
202212,0.83
202301,0.89
202302,1.01
202303,1.23
202304,0.99
202305,0.97
202306,1.07
202307,1.18
202308,1.26
202309,1.42
202310,1.38
202311,1.43
202312,1.39
202401,1.29
202402,1.40
