Date,Anomaly
2001-01-01,0.45
2001-02-01,0.43
2001-03-01,0.55
2001-04-01,0.53
2001-05-01,0.57
2001-06-01,0.53
2001-07-01,0.62
2001-08-01,0.54
2001-09-01,0.55
2001-10-01,0.5
2001-11-01,0.69
2001-12-01,0.62
2002-01-01,0.68
2002-02-01,0.68
2002-03-01,0.83
2002-04-01,0.56
2002-05-01,0.65
2002-06-01,0.58
2002-07-01,0.64
2002-08-01,0.56
2002-09-01,0.61
2002-10-01,0.57
2002-11-01,0.57
2002-12-01,0.51
2003-01-01,0.72
2003-02-01,0.62
2003-03-01,0.59
2003-04-01,0.58
2003-05-01,0.6
2003-06-01,0.49
2003-07-01,0.58
2003-08-01,0.64
2003-09-01,0.69
2003-10-01,0.75
2003-11-01,0.56
2003-12-01,0.74
2004-01-01,0.62
2004-02-01,0.71
2004-03-01,0.67
2004-04-01,0.62
2004-05-01,0.4
2004-06-01,0.44
2004-07-01,0.37
2004-08-01,0.49
2004-09-01,0.55
2004-10-01,0.62
2004-11-01,0.7
2004-12-01,0.53
2005-01-01,0.76
2005-02-01,0.63
2005-03-01,0.75
2005-04-01,0.69
2005-05-01,0.67
2005-06-01,0.67
2005-07-01,0.64
2005-08-01,0.6
2005-09-01,0.7
2005-10-01,0.74
2005-11-01,0.77
2005-12-01,0.73
2006-01-01,0.6
2006-02-01,0.77
2006-03-01,0.66
2006-04-01,0.55
2006-05-01,0.55
2006-06-01,0.64
2006-07-01,0.56
2006-08-01,0.71
2006-09-01,0.67
2006-10-01,0.68
2006-11-01,0.68
2006-12-01,0.78
2007-01-01,0.92
2007-02-01,0.71
2007-03-01,0.68
2007-04-01,0.78
2007-05-01,0.64
2007-06-01,0.59
2007-07-01,0.59
2007-08-01,0.57
2007-09-01,0.6
2007-10-01,0.61
2007-11-01,0.57
2007-12-01,0.48
2008-01-01,0.28
2008-02-01,0.33
2008-03-01,0.7
2008-04-01,0.52
2008-05-01,0.51
2008-06-01,0.48
2008-07-01,0.59
